lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx,lev_display_name_alignment,display_name_missing,spamassassin_score,spamassassin_present
1,1,1,1,0,4,1.791759,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,1,1,0,4,1.791759,1,0.167366,1,1,1,1,0.2857,0,-4.987,1
1,1,1,1,0,4,4.007333,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,1,1,0,4,2.079442,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.25,0,4.446,1
1,1,1,1,0,4,1.791759,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,,1,1,4,2.302585,1,0.163286,1,1,0,1,0.5,0,-2.235,1
1,0.2,0.6,1,0,4,0,1,0.167366,1,1,1,0,0.96,0,,0
1,1,0.0909,1,1,3,1.609438,1,0.159104,1,1,1,1,0.5833,0,-1.491,1
1,0.4,1,1,0,4,2.079442,1,0.159481,1,0,1,1,0.75,0,-2.019,1
1,0.2308,1,1,1,3,1.791759,1,0.227036,1,1,1,1,0.5,0,4.002,1
0,1,1,1,1,4,2.197225,1,0.159104,1,1,1,1,1,0,-4.485,1
1,1,1,1,0,4,2.397895,0,,1,1,1,1,0.9474,0,-0.341,1
0.0909,1,1,1,1,4,2.197225,1,0.159104,1,1,1,1,1,0,-5.542,1
1,1,1,1,1,4,7.179308,1,0.185982,1,0,1,1,1,0,-1.5,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.25,0,-0.963,1
1,1,,1,1,4,2.302585,1,0.163286,1,1,1,1,0.25,0,-1.499,1
1,1,1,1,0,4,3.688879,1,0.167366,1,1,1,1,0.2857,0,-0.827,1
1,1,0.1333,1,1,3,1.94591,1,0.159104,1,1,1,1,1,0,-5.18,1
0.1333,0.1429,,1,1,5,6.33328,1,0.14289,1,1,1,1,0.1818,0,-2.019,1
0.1333,0.1429,0.1429,1,1,5,6.375025,1,0.14289,1,1,1,1,0.1818,0,-2.66,1
1,1,,1,0,4,2.197225,1,0.076553,1,1,1,1,0.2857,0,-1.501,1
1,1,1,1,0,4,1.791759,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,,1,1,4,2.302585,1,0.163286,1,1,1,1,0.25,0,-6.351,1
0.1667,0.1429,0.1429,1,0,5,2.70805,1,0.14289,1,1,1,1,0.4706,0,4.264,1
